Probe Set ID	SL2_1_Exp	SL2_2_Exp	Clone8_1_Exp	Clone8_2_Exp	SL2_1_Call	SL2_2_Call	Clone8_1_Call	Clone8_2_Call
1624853_at	29.4	40.3	61.4	39.8	A	A	A	A
1639401_at	13.3	23.7	8	2.1	A	A	A	A
1624509_at	3.9	3.3	2.5	6.9	A	A	A	A
1635689_at	28.1	57.7	31.9	6.9	A	A	A	A
1626830_at	8.7	6.6	3.5	3.2	A	A	A	A
1627933_a_at	17.5	14	1.1	1.3	A	A	A	A
1626452_at	83.8	72.1	58.3	35.8	A	A	A	A
1624202_a_at	11.5	12.7	34.7	5.7	A	A	A	A
1639584_at	177	97	172.2	47.2	A	P	P	P
1639262_at	40.7	35.5	49.6	39.3	A	A	A	M
1630495_at	95.9	76.7	125.8	13.2	A	A	A	A
1626604_at	13.4	12.7	10.4	4	A	A	A	A
1641544_at	3.8	11.3	4.7	3.1	A	A	A	A
1637744_at	9.2	21.1	4.6	2.9	A	A	A	A
1633966_at	27.1	25.9	52.2	19.1	A	A	A	A
1623004_a_at	12.5	15.4	38.9	15.2	A	A	A	A
1639719_at	763.9	806.9	763.2	948.2	P	P	P	P
1631244_a_at	2090.2	2929	1862.5	3292.2	P	P	P	P
1629694_at	162.3	105.6	152.1	272.5	P	P	P	P
1627280_s_at	8494.7	8019	5554.2	6403.5	P	P	P	P
1625500_at	718.7	531.7	632.1	626.8	P	P	P	P
1627447_at	43.6	9.1	17.4	3.7	A	A	A	A
1627372_a_at	2072.8	3066.9	1597.1	2539	P	P	P	P
1631198_at	1102	1208.4	954.6	1424.8	P	P	P	P
1633403_at	1075.2	776.6	1293.8	1029.7	P	P	P	P
1635420_at	5.4	5.2	4.2	4.1	A	A	A	A
1635538_at	1624	1179.7	1652.8	939.4	P	P	P	P
1640216_at	47	9.4	38.1	25.9	A	A	A	A
1625307_at	78.6	21.9	69.2	36.1	P	M	A	A
1629963_at	591.7	317.5	651	325.7	P	P	P	P
1627116_at	1061.1	943.9	1055.4	1193.2	P	P	P	P
1630141_at	1906.5	1835.9	1954.1	2205.9	P	P	P	P
1634229_at	3.9	13	46.1	20.4	A	A	A	A
1641671_at	795.3	810.6	923.6	1017	P	P	P	P
1623433_at	11.7	8.2	10.2	2.3	A	A	A	A
1639433_at	11.6	3.2	5.3	1.5	A	A	A	A
1637508_at	1548.9	1529.7	1037.9	1151.1	P	P	P	P
1636564_at	472	457.2	739.4	338.8	P	P	P	P
1624696_a_at	1.8	7.9	21.8	16	A	A	A	A
1637180_at	89.2	130.7	262	274.8	A	P	P	P
1638267_s_at	1947.6	2077.7	1137.6	645.3	P	P	P	P
1630723_a_at	8.6	4.7	11.5	3.5	A	A	A	A
1627709_at	47.4	43	44.2	27.9	A	A	A	A
1640084_a_at	154.2	192.5	126.1	142.3	P	P	P	P
1636709_at	636.1	721.3	475.3	716.9	P	P	P	P
1624041_at	2291.1	2281.6	2381.7	2741.4	P	P	P	P
1628397_at	2095.4	2051.5	2245	1914.2	P	P	P	P
1641133_at	14.8	9.7	29.4	3.7	A	A	A	A
1637893_at	2727.7	2594.3	2057.8	1974.6	P	P	P	P
1639611_at	153.5	95.5	113.9	65.5	A	P	M	M
1639597_at	197.7	169.5	74.6	25	A	A	A	A
1624387_at	1373.2	958.6	771.6	976	P	P	P	P
1625330_at	50.8	28.3	45.2	29.3	A	A	A	A
1639367_a_at	413.9	522.4	906	859.5	P	P	P	P
1625776_at	12.1	6.5	9.4	2.3	A	A	A	A
1639646_at	592.2	686.6	451.9	555.7	P	P	P	P
1635835_at	6.6	2.7	8.5	1.3	A	A	A	A
1631953_at	73.9	50.8	80.9	39.2	A	A	A	A
1628051_at	16.3	3.7	6	4	A	A	A	A
1630728_a_at	1552.4	1247.8	226.2	300.8	P	P	P	P
1636758_s_at	3620.1	3064.6	702.7	810.1	P	P	P	P
1631439_at	4.7	7.3	28.2	1.4	A	A	A	A
1638270_at	1524.5	1589.5	1234.5	1651.1	P	P	P	P
1635318_at	15.2	9.7	15.4	2	A	A	A	A
1630216_at	567.2	521.6	374.8	438.1	P	P	P	P
1631897_s_at	1414.6	1126.1	1923.8	1754.3	P	P	P	P
1624407_s_at	2959.6	2675.6	2575	2271.1	P	P	P	P
1633707_at	21.7	33	17	17	A	A	A	A
1633805_a_at	1893.9	1333.8	1534.7	1590	P	P	P	P
1626940_at	966.4	1125.4	1421	1458.5	P	P	P	P
1635804_at	95.6	37.7	85.3	35.9	A	A	A	P
1641689_at	1209.5	753.6	1209.4	960.6	P	P	P	P
1630003_at	56.6	56.6	98.2	49.1	A	M	M	P
1640296_a_at	6.1	25	3.3	5.9	A	A	A	A
1631822_at	633	437.7	713.6	428.5	P	P	P	P
1627107_at	177.9	170.6	255.1	238.2	A	A	M	P
1628186_at	36.8	30.8	36.3	2.6	A	A	A	A
1625421_at	172.2	49.1	112.7	51.7	A	A	A	A
1632877_a_at	148.6	223	167.9	258.7	P	P	P	P
1634626_at	16.1	1	12.7	1.7	A	A	A	A
1629732_at	34.3	18.7	50.1	3.4	A	A	A	A
1638693_s_at	680.2	704	998.4	764.7	P	P	P	P
1640728_at	62.9	17.2	53.6	7	A	A	A	A
1636927_at	24.8	16.9	6.8	16.2	A	A	A	A
1624030_at	1417.3	1275.1	629	648.8	P	P	P	P
1626769_s_at	673.5	780.3	229.8	368	P	P	P	P
1624527_at	30	47.7	12.4	16	A	A	A	A
1641215_s_at	3578.6	3246.4	4211.5	3859.8	P	P	P	P
1624997_s_at	1059.2	1144.9	837.4	749.1	P	P	P	P
1632205_at	10.8	10.6	15.6	5.7	A	A	A	A
1635774_at	642.7	526.4	434.2	355.7	P	P	P	P
1635973_at	66	11.8	37.8	3.3	A	A	A	A
1633010_s_at	10058.3	13161.2	4954.3	7007.2	P	P	P	P
1634800_at	51.1	76.8	129.9	71.1	A	A	A	A
1628751_at	2244	2617.2	2361.4	2039.2	P	P	P	P
1636923_a_at	2934.5	2042.9	3415.8	2949.1	P	P	P	P
1632797_a_at	16.9	1.5	31.7	10.6	A	A	A	A
1632809_at	40.4	5	38.4	15.4	A	A	A	A
1627505_at	1330.7	770.3	926.6	858.6	P	P	P	P
1640105_a_at	1115.9	1036.6	802.9	778	P	P	P	P
1628997_at	19.1	40.4	69.2	6	A	A	A	A
1640907_at	4773.8	5128.3	5301.1	5042.3	P	P	P	P
1635079_at	1334	1021.7	1045.7	997.6	P	P	P	P
1637648_at	6.9	5.7	6.4	7.2	A	A	A	A
1631493_at	9893.7	7703.5	10190.2	10599.5	P	P	P	P
1625332_at	1184.7	1376.5	1259.4	1519.9	P	P	P	P
1627272_at	45.9	52.7	69.5	16.3	A	A	A	A
1623358_at	311	270.3	256.9	266.3	P	P	P	P
1634608_at	1048.9	981.9	232.7	124.6	P	P	P	P
1632679_s_at	23.5	14.1	6.2	0.4	A	A	A	A
1637939_at	9.3	6	9.8	1	A	A	A	A
1627373_at	7.2	2.8	1.5	11.9	A	A	A	A
1634977_at	37.6	16.5	106.8	32.2	A	A	A	A
1629167_at	92.3	16.7	71.1	6.9	A	A	A	A
1625139_at	138.7	271.6	625.6	623.4	P	P	P	P
1639022_at	8.4	2.3	3.6	3	A	A	A	A
1630920_at	20	7.7	18.8	6.2	A	A	A	A
1641508_s_at	8.4	2.7	42.9	5.6	A	A	A	A
1623094_at	21.7	31.7	7.6	6.9	A	A	A	A
1639406_at	5.3	3.8	212.3	357.6	A	A	P	P
1631497_at	82.1	15.8	67.9	19.5	A	A	A	A
1624486_at	52.4	74.2	91.9	32.5	A	A	A	A
1635370_at	29.5	25.1	121.8	174.8	A	A	P	P
1627785_at	42.4	24.2	40.5	11.6	A	A	A	A
1627510_at	3.8	3.4	3.8	1.7	A	A	A	A
1624435_at	4.5	4.5	6	16.8	A	A	A	A
1634845_at	1732.4	1550	1402	1640.7	P	P	P	P
